SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,TRT,SHEEF_FILE
BRO  -  BROOKS PENINSULA,BRO,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,12.29886,15.25175,9.587087,1.102941,0.808641,1.397241,FULL,FULL,1982;1965;1956;1940;1917;1899,2.5;3.3;3.8;4.8;5.3;6.8,2015,active,FULL
CAS  -  CASCADE MOUNTAINS,CAS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,566.6023,1266.084,247.9328,2.521008,1.839279,3.202736,FULL,FULL,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,active,FULL
EXP  -  EXPLORER PLATE BENDING,EXP,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.3,1878.620,2475.888,1418.895,1.957744,1.754723,2.160766,FULL,FULL,1983;1965;1917;1899,3.0;3.3;5.3;6.8,2015,active,FULL
FHL  -  FLATHEAD LAKE,FHL,area,1.0,10.0,5.0,15.0,4.8,4.0,7.3,7.2,7.7,125332.0,913041.7,16128.91,3.265306,2.269572,4.261040,FULL,FULL,1993;1960;1940;1917;1899,3.0;4.0;4.8;5.3;5.8,2015,active,FULL
GTPC  -  GEORGIA STRAIT/PUGET SOUND CENTRE (DEEP),GTPC,area,1.0,55.0,50.0,60.0,4.8,3.5,7.5,7.2,7.6,131.3581,183.2906,91.28718,1.556,1.29304,1.81896,DEEP,DEEP,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,intraslab,DEEP
HEC  -  HECATE STRAIT,HEC,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,892.3996,1184.673,667.3621,2.129112,1.866239,2.391985,FULL,FULL,1986;1985;1971;1965;1940;1917;1899,2.5;2.8;3.3;3.8;5.3;5.8;6.8,2015,active,FULL
JDFF  -  JUAN DE FUCA PLATE BENDING, OFFSHORE,JDFF,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.3,78.57193,124.5865,48.39990,1.709741,1.267391,2.152091,FULL,FULL,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,active,FULL
JDFN  -  JUAN DE FUCA PLATE BENDING, ONSHORE (DEEP),JDFN,area,1.0,35.0,30.0,40.0,4.8,2.4,7.0,6.9,7.3,28.36172,38.24377,20.59496,1.28,0.958841,1.601158,DEEP,DEEP,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,intraslab,DEEP
NOFR  -  NOOTKA FAULT,NOFR,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.3,2652.764,2957.810,2375.851,1.961436,1.857663,2.065210,FULL,FULL,1982;1965;1956;1940;1917;1899,2.5;3.3;3.8;4.8;5.3;6.8,2015,active,FULL
OFS  -  OFFSHORE,OFS,area,1.0,7.0,5.0,10.0,4.8,2.4,7.0,6.9,7.3,276582.9,365861.6,208797.8,2.317828,2.188441,2.447216,FULL,FULL,1965;1917;1899,4.3;5.3;6.8,2015,active,FULL
OLM  -  OLYMPIC MOUNTAINS,OLM,area,1.0,10.0,5.0,15.0,4.8,2.4,7.5,7.4,7.7,41.26956,52.45819,32.01638,1.290322,1.032386,1.548259,FULL,FULL,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,active,FULL
PGT  -  PUGET SOUND shallow,PGT,area,1.0,10.0,5.0,15.0,4.8,2.4,7.5,7.4,7.7,1478.309,1879.342,1158.105,2.230390,2.014286,2.446493,CRUST,CRUST,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,active,CRUST
ROCS  -  ROCKY MOUNTAIN FOLD/THRUST BELT SOUTH,ROCS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.7,6559.931,13347.04,3185.754,2.637289,2.168857,3.105721,FULL,FULL,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,active,FULL
SBC  -  SOUTHERN BRITISH COLUMBIA,SBC,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1380.656,3045.513,612.5910,2.441558,1.885157,2.997959,FULL,FULL,1966;1965;1960;1940;1917;1899,3.0;3.3;4.3;4.8;5.3;5.8,2015,active,FULL
VICM  -   VANCOUVER ISLAND COAST MOUNTAINS,VICM,area,1.0,10.0,5.0,15.0,4.8,2.4,7.5,7.4,7.7,356.2026,490.6351,256.0182,2.017145,1.716646,2.317643,CRUST,CRUST,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;7.3,2015,active,CRUST
RMTS  -  ROCKY MOUNTAIN TRENCH SOUTH,RMTS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.7,208.7949,462.1256,91.38856,1.828571,1.267591,2.389551,FULL,FULL,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,active,FULL
RMTN  -  ROCKY MOUNTAIN TRENCH NORTH,RMTN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,61917.42,276795.7,13121.55,2.992125,2.222129,3.762122,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
BCNC  -  BC NORTH COAST,CST,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1577.155,28442.14,84.24768,2.608695,0.952995,4.264395,FULL,FULL,1972;1965;1940;1917;1899,3.6;4.3;5.3;5.8;6.8,2015,active,FULL
YUS - YUKON SOUTH,YUS2,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,3881.520,22717.22,615.8341,2.372881,1.462830,3.282932,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
GTPE  -  GEORGIA STRAIT/PUGET SOUND EAST EAST (DEEP),GTPE,area,1.0,60.0,55.0,6.0,4.8,3.0,7.2,7.0,7.5,27.61016,30.75209,22.72348,1.556,1.29304,1.81896,DEEP,DEEP,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,instraslab,DEEP
GTPW  -  GEORGIA STRAIT/PUGET SOUND WEST (DEEP),GTPW,area,1.0,50.0,45.0,55.0,4.8,3.5,7.5,7.2,7.6,128.6785,178.9649,89.63058,1.556,1.29304,1.81896,DEEP,DEEP,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015,intraslab,DEEP
