SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
MRD - MACKENZIE RIVER DELTA REGION,MRD,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,4545.177,96366.15,204.0796,2.564102,3.436324,1.691880,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
GCB - GLACIER BAY,GCB,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.4,1468.651,6304.141,329.4741,1.894736,2.297294,1.492179,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
GOA - GULF OF ALASKA,GOA,area,1.0,10.0,5.0,15.0,4.8,2.4,8.0,7.8,8.2,34279.69,57222.62,20425.12,2.269300,2.418299,2.120301,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.8,2015.0,FULL
MKM - MACKENZIE MOUNTAINS,MKM,area,1.0,10.0,5.0,15.0,4.8,2.4,7.7,7.5,7.9,15445.24,17843.18,13357.06,2.126829,2.186276,2.067382,-99.0,-99.0,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015.0,FULL
RMN - RICHARDSON MOUNTAINS NORTH,RMN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,2712.045,3548.350,2065.054,2.016062,2.128623,1.903501,-99.0,-99.0,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015.0,FULL
RMS - RICHARDSON MOUNTAINS SOUTH,RMS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,1849.011,2265.985,1504.393,1.801788,1.889483,1.714093,-99.0,-99.0,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015.0,FULL
WMR - WRANGELL MOUNTAINS REGION,WMR,area,1.0,20.0,10.0,30.0,4.8,2.4,7.6,7.4,7.8,74203.79,729696.1,6965.431,3.132530,3.793452,2.471607,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015.0,FULL
WSE - WEST ST ELIAS MOUNTAINS,WSE,area,1.0,10.0,5.0,15.0,4.8,2.4,7.3,7.1,7.5,24475.20,48063.97,12353.00,2.311367,2.507232,2.115502,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015.0,FULL
YAK - YAKUTAT COLLISION,YAK,area,1.0,10.0,5.0,15.0,4.8,2.4,8.1,7.9,8.4,205.2953,349.1148,118.6767,1.281216,1.450945,1.111486,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015.0,FULL
YAR - YUKON-ALASKA REGION,YAR,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,106379.2,649693.4,16773.14,2.918918,3.406446,2.431390,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
YUS - YUKON SOUTH,YUS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,2479.254,15236.42,374.6056,2.258064,2.796468,1.719660,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015.0,FULL
SCCCT Geological Survey of Canada magnitude recurrence parameters,SCCCT,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.8,7.2,2002.896,5629.832,698.3614,2.337662,2.699434,1.975890,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
QCFA - QUEEN CHARLOTTE FAULT - AREA,QCFA,area,1.0,10.0,5.0,15.0,4.8,2.4,7.7,7.5,7.9,4847.598,14717.38,1558.680,1.764705,2.022916,1.506495,-99.0,-99.0,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015.0,FULL
FWFA - FAIRWEATHER FAULT - AREA,FWFA,area,1.0,10.0,5.0,15.0,4.8,4.9,7.7,7.5,7.9,25.47089,68.60393,8.596997,0.995475,1.268131,0.722818,-99.0,-99.0,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015.0,FULL
FTH  -  FOOTHILLS,FTH,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.5,3495.692,7899.865,1523.757,2.486085,2.796123,2.176047,-99.0,-99.0,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015.0,FULL
NBC - NORTHERN BRITISH COLUMBIA,NBC,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1859.197,18324.70,175.1577,2.857142,3.738183,1.976101,-99.0,-99.0,1982;1965;1940;1917,3.0;3.3;5.3;5.8,2015.0,FULL
ROCN - ROCKY MOUNTAIN FOLD/THRUST BELT NORTH,ROCN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.7,9780.202,109587.7,818.2857,3.265306,4.151879,2.378733,-99.0,-99.0,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015.0,FULL
CSTN  -  COASTAL MOUNTAINS NARROW,CSTN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,19508.46,177691.2,2029.079,2.992125,3.687845,2.296406,-99.0,-99.0,1972;1965;1940;1917;1899,3.6;4.3;5.3;5.8;6.8,2015.0,FULL
SCCECHW Stable Cratonic Core Eastern Canada H - Williston Basin cut out,SCCECHW,area,1.0,10.0,5.0,20.0,4.8,2.4,7.0,6.8,7.2,15244173,1.017938,2173244.,6.666666,9.100989,4.232344,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
ADRN   - NORTHERN ADIRONDACKS NORTH,ADRN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,20.71435,37.08940,10.96003,1.603375,1.934007,1.272743,-99.0,-99.0,1968;1963;1938;1920;1880;1850;1660,2.6;2.8;3.3;4.3;4.8;6.0;6.7,2015.0,FULL
ADRS   - NORTHERN ADIRONDACKS SOUTH,ADRS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,108.2984,293.7305,38.19356,2.139534,2.622521,1.656548,-99.0,-99.0,1968;1963;1938;1920;1880;1850;1660,2.6;2.8;3.3;4.3;4.8;6.0;6.7,2015.0,FULL
AOBH   - ATLANTIC OFFSHORE BACKGROUND,AOBH,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,286.9631,1406.786,57.40201,2.051282,2.618814,1.483749,-99.0,-99.0,1983;1965;1953;1950;1930;1920,3.5;3.8;4.8;5.4;6.0;6.7,2015.0,FULL
AOH    - ANNA OHIO,AOH,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,1.159193,1.191447,1.105960,0.860215,1.024751,0.695678,-99.0,-99.0,1976;1940;1920;1900;1850;1790,2.7;3.3;3.8;4.3;4.8;5.4,2015.0,FULL
BSL    - BAS SAINT LAURENT,BSL,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,402.2776,554.0213,289.1452,2.191603,2.372872,2.010335,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015.0,FULL
BSLE   - BAS SAINT LAURENT EAST,BSLE,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,37.70341,69.38682,19.46292,1.851851,2.219103,1.484599,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015.0,FULL
BSLW   - BAS SAINT LAURENT WEST,BSLW,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,105.1518,251.4342,41.88132,2.270270,2.745995,1.794544,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.8;4.3;4.8;6.0,2015.0,FULL
CHA    - CHAMPLAIN,CHA,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,18.03968,44.08097,6.767343,1.666666,2.132357,1.200976,-99.0,-99.0,1968;1963;1938;1928;1920;1880;1660,2.7;2.8;3.3;3.8;4.3;4.8;6.0,2015.0,FULL
CHV    - CHARLEVOIX,CHV,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,191.6188,225.8601,161.4991,1.779154,1.885111,1.673198,-99.0,-99.0,1968;1963;1938;1928;1920;1880;1790;1660,2.4;2.8;3.3;3.8;4.3;4.8;5.4;6.,2015.0,FULL
CLO    - CENTRAL LAKE ONTARIO,CLO,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,31.02808,167.5699,5.469354,2.325581,3.283939,1.367223,-99.0,-99.0,1980;1963;1938;1920;1870;1850,2.4;2.8;3.3;4.3;5.3;6.0,2015.0,FULL
CNH    - CENTRAL NEW HAMPSHIRE,CNH,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,5.870517,10.13923,3.156188,1.217391,1.553640,0.881142,-99.0,-99.0,1972;1963;1953;1938;1900;1850,2.6;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
COCN   - COCHRANE NORTH,COCN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,70.52101,153.5003,30.49290,2.138364,2.587543,1.689185,-99.0,-99.0,1982;1963;1938;1900;1850,2.4;2.8;4.3;4.8;6.0,2015.0,FULL
COCS   - COCHRANE SOUTH,COCS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,20.80511,28.53568,14.18702,2.105263,2.483728,1.726797,-99.0,-99.0,1982;1963;1938;1900;1850,2.4;2.8;4.3;4.8;6.0,2015.0,FULL
GAT    - GATINEAU,GAT,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,1057.707,1304.026,854.4135,2.244052,2.361232,2.126872,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
GATW   - GATINEAU WEST,GATW,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,9.910506,18.46586,4.835366,1.517241,1.917716,1.116765,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
GNS    - GULF OF ST. LAWRENCE (NORTH SHORE),GNS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,36.83063,63.01493,20.33065,1.914893,2.257804,1.571983,-99.0,-99.0,1975;1963;1938;1928;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
KIP    - KIPAWA,KIP,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,6.798422,13.77159,3.146324,1.300813,1.723621,0.878004,-99.0,-99.0,1982;1968;1963;1938;1928;1900;1850;1660,2.2;2.4;2.8;3.8;4.3;4.8;6.0;7.,2015.0,FULL
LCH    - LAURENTIAN CHANNEL,LCH,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,1499.423,9031.823,226.2980,2.933333,3.689301,2.177365,-99.0,-99.0,1983;1965;1953;1938;1928;1800,2.9;3.3;4.3;4.8;5.4;6.7,2015.0,FULL
LFN    - LAURENTIAN FAN,LFN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,102.5956,220.3126,44.36435,1.944444,2.321713,1.567175,-99.0,-99.0,1983;1965;1953;1938;1928;1800,2.9;3.3;4.3;4.8;5.4;6.7,2015.0,FULL
LIR    - LABRADOR IAPETAN RIFT,LIR,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,16.24975,67.86394,3.506341,2.068965,2.936898,1.201032,-99.0,-99.0,1982;1975;1963;1953;1900;1850,2.5;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
LSP    - LAURENTIAN SLOPE,LSP,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,11.40982,16.40438,7.652510,1.0,1.200890,0.799109,-99.0,-99.0,1983;1965;1953;1938;1928;1800,2.9;3.3;4.3;4.8;5.4;6.7,2015.0,FULL
MIR    - MIRAMICHI,MIR,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,6.681870,9.382722,4.542174,1.094527,1.321685,0.867368,-99.0,-99.0,1972;1963;1953;1938;1900;1850,2.6;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
MNT    - MONTREAL,MNT,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,193.7266,266.8824,138.5856,2.108379,2.299286,1.917471,-99.0,-99.0,1982;1968;1963;1938;1928;1900;1880;1730;1660,2.1;2.4;2.8;3.3;3.8;4.3;4.8;5.,2015.0,FULL
NAN   - NORTHERN APPALACHIANS,NAN,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,448.5790,561.3680,356.3552,2.036045,2.165341,1.906749,-99.0,-99.0,1972;1963;1953;1938;1900;1850,2.4;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
OBGH   - ONTARIO BACKGROUND (H model),OBGH,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,82.96848,108.5646,62.59419,1.556886,1.709455,1.404316,-99.0,-99.0,1980;1963;1938;1920;1870;1850,2.6;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
PEM    - PEMBROKE,PEM,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,42.94161,61.05656,29.42681,1.670235,1.894263,1.446207,-99.0,-99.0,1975;1963;1938;1928;1920;1880;1850,2.4;2.8;3.3;3.8;4.3;4.8;6.0,2015.0,FULL
PMQ    - H2 - PASSAMAQUODDY BAY,PMQ,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,16.79489,147.6213,1.872683,1.747572,2.755059,0.740086,-99.0,-99.0,1972;1963;1953;1938;1900;1850,2.6;2.8;3.3;3.8;4.8;6.0,2015.0,FULL
QCR    - QUEBEC CITY REGION,QCR,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,72.76632,177.9400,28.51699,2.068965,2.546627,1.591303,-99.0,-99.0,1975;1963;1938;1928;1920;1880;1790;1660,2.4;2.8;3.3;3.8;4.3;4.8;5.4;6.,2015.0,FULL
SAG    - SAGUENAY,SAG,area,1.0,10.0,5.0,30.0,4.8,2.4,7.8,7.4,8.0,6.721787,11.73381,3.609953,1.28,1.639490,0.920509,-99.0,-99.0,1975;1963;1938;1928;1920;1880;1850;1660,2.4;2.8;3.3;3.8;4.3;4.8;6.0;7.,2015.0,FULL
SEB    - SOUTHEAST CANADA BACKGROUND,SEB,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,1947.642,2318.985,1631.021,2.233498,2.331307,2.135688,-99.0,-99.0,1982;1975;1963;1953;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
SLE    - SOUTH SHORE LAKE ERIE,SLE,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,29.74947,52.11593,16.30268,1.650165,1.983698,1.316631,-99.0,-99.0,1980;1963;1938;1920;1870;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
SVH    - SEVERN HIGHLANDS,SVH,area,1.0,5.0,5.0,20.0,4.8,2.4,7.0,6.8,7.2,1455.044,6898.849,291.5409,3.278688,4.048652,2.508725,-99.0,-99.0,1982;1975;1963;1953;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
TRR    - TROIS-RIVIERES,TRR,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,51.34383,167.8560,14.39630,2.222222,2.871238,1.573206,-99.0,-99.0,1975;1963;1938;1928;1920;1880;1790;1660,2.4;2.8;3.3;3.8;4.3;4.8;5.4;6.,2015.0,FULL
WLO    - WESTERN LAKE ONTARIO,WLO,area,1.0,5.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,12.20072,19.79793,7.101136,1.44,1.760374,1.119625,-99.0,-99.0,1980;1963;1938;1920;1870;1850,2.4;2.8;3.3;4.3;5.3;6.0,2015.0,FULL
BRO  -  BROOKS PENINSULA,BRO,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,12.29886,15.25175,9.587087,1.102941,1.273056,0.932825,-99.0,-99.0,1982;1965;1956;1940;1917;1899,2.5;3.3;3.8;4.8;5.3;6.8,2015.0,FULL
CAS  -  CASCADE MOUNTAINS,CAS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,566.6023,1266.084,247.9328,2.521008,2.915071,2.126945,-99.0,-99.0,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015.0,FULL
EXP  -  EXPLORER PLATE BENDING,EXP,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.3,1878.620,2475.888,1418.895,1.957744,2.075098,1.840391,-99.0,-99.0,1983;1965;1917;1899,3.0;3.3;5.3;6.8,2015.0,FULL
FHL  -  FLATHEAD LAKE,FHL,area,1.0,10.0,5.0,15.0,4.8,2.4,7.3,7.2,7.7,64.98789,85.18353,48.20308,1.294964,1.448499,1.141428,-99.0,-99.0,1993;1960;1940;1917;1899,3.0;4.0;4.8;5.3;5.8,2015.0,FULL
GTPC  -  GEORGIA STRAIT/PUGET SOUND CENTRE (DEEP),GTPC,area,1.0,50.0,45.0,55.0,4.8,3.5,7.2,7.0,7.5,108.5690,198.3411,57.62826,1.500770,1.730874,1.270667,-99.0,-99.0,1976;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015.0,DEEP
HEC  -  HECATE STRAIT,HEC,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,892.3996,1184.673,667.3621,2.129112,2.281062,1.977162,-99.0,-99.0,1986;1985;1971;1965;1940;1917;1899,2.5;2.8;3.3;3.8;5.3;5.8;6.8,2015.0,FULL
JDFF  -  JUAN DE FUCA PLATE BENDING, OFFSHORE,JDFF,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.3,78.57193,124.5865,48.39990,1.709741,1.965434,1.454048,-99.0,-99.0,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015.0,FULL
JDFN  -  JUAN DE FUCA PLATE BENDING, ONSHORE (DEEP),JDFN,area,1.0,35.0,30.0,40.0,4.8,2.4,7.0,6.9,7.3,28.36172,38.24377,20.59496,1.28,1.465640,1.094359,-99.0,-99.0,1982;1970;1956;1940;1917;1899;1860,2.5;2.8;3.8;4.8;5.3;5.8;6.8,2015.0,DEEP
